match_id,stage,group,match_date,venue,city,country,home_team,away_team,neutral,bracket_slot_home,bracket_slot_away
75,Round of 32,,2026-06-29T19:00:00,Estadio BBVA,Monterrey (Guadalupe),Mexico,,,True,1F,2C
76,Round of 32,,2026-06-29T12:00:00,NRG Stadium,Houston,United States,,,True,1C,2F
77,Round of 32,,2026-06-30T17:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,,,True,1I,THIRD_FOR_1I
78,Round of 32,,2026-06-30T12:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,,,True,2E,2I
79,Round of 32,,2026-06-30T19:00:00,Estadio Azteca,Mexico City,Mexico,,,True,1A,THIRD_FOR_1A
80,Round of 32,,2026-07-01T12:00:00,Mercedes-Benz Stadium,Atlanta,United States,,,True,1L,THIRD_FOR_1L
81,Round of 32,,2026-07-01T17:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,,,True,1D,THIRD_FOR_1D
82,Round of 32,,2026-07-01T13:00:00,Lumen Field,Seattle,United States,,,True,1G,THIRD_FOR_1G
83,Round of 32,,2026-07-02T19:00:00,BMO Field,Toronto,Canada,,,True,2K,2L
84,Round of 32,,2026-07-02T12:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,,,True,1H,2J
85,Round of 32,,2026-07-02T20:00:00,BC Place,Vancouver,Canada,,,True,1B,THIRD_FOR_1B
86,Round of 32,,2026-07-03T18:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,,,True,1J,2H
87,Round of 32,,2026-07-03T20:30:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,,,True,1K,THIRD_FOR_1K
88,Round of 32,,2026-07-03T13:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,,,True,2D,2G
89,Round of 16,,2026-07-04T17:00:00,Lincoln Financial Field,Philadelphia,United States,,,True,W74,W77
90,Round of 16,,2026-07-04T12:00:00,NRG Stadium,Houston,United States,,,True,W73,W75
91,Round of 16,,2026-07-05T16:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,,,True,W76,W78
